金蝶数据库表结构  
2011-03-0519:27:28|  分类： 默认分类 |  标签： |字号大中小 订阅

统ID 表ID 表名 表中文名 表说明 
1 10040 t_VoucherBlankOut 作废凭证表 存储已作废的凭证 

1 10041 t_AutoTransferEntryItem 转账凭证核算项目信息表转账凭证核算项目信息表 

1 10042 t_AutoTransferScheme 自动转账方案 自动转账方案 

1 10043 t_GlAutoCreateVch 凭证预提摊销方案表凭证预提摊销方案表 

1 10044 t_GlAutoSetPeriod 凭证预提摊销期间设定表凭证预提摊销期间设定表 

1 10045 t_GlAutoVchAcct 凭证预提摊销科目表凭证预提摊销科目表 

1 10046 t_GlContrast 内部凭证协同对方内部往来表内部凭证协同对方内部往来表 

1 10047 t_GlContrastRelative 内部往来凭证协同勾稽表内部往来凭证协同勾稽表 

1 10048 t_GLCussent 内部往来凭证协同我方往来表内部往来凭证协同我方往来表 

1 10049 t_VoucherGroupNote 套打凭证模板表 套打凭证模板表 

2 20001 t_PA_BankName 银行信息表 银行信息表 

2 20002 t_PA_Department 工资部门表 工资部门表 

2 20003 t_PA_FundFieldDesc 基金自定义字段描述表基金自定义字段描述表 

2 20004 t_PA_FundSet 基金类型定义表 基金类型定义表 

2 20005 t_PA_HrOrg 工资类别组织单元对应表 工资类别组织单元对应表 

2 20006 t_PA_Item 工资基础项目表 工资基础项目表 

2 20007 t_PA_ItemClass 工资基础项目类别表 工资基础项目类别表 

2 20008 t_PA_ItemClsV 工资类别对应核算项目表工资类别对应核算项目表 

2 20009 t_PA_ItemPropDesc 工资自定义项目字段信息表工资自定义项目字段信息表 

2 20010 t_PA_ItemRef 工资职员附加信息表 工资职员附加信息表 

2 20011 t_PA_ItemRefType 工资职员附加信息类别表工资职员附加信息类别表 

2 20012 T_PA_pama 工资类别表 工资类别表 

2 20013 t_PA_Personal 工资职员表 工资职员表 

2 20014 T_PA_personPChs 工资职员变动资料表工资职员变动资料表 

2 20015 t_PA_taxdata 所得税分录表 所得税分录表 

2 20016 t_PA_taxinit 所得税初始设置 所得税初始设置 

2 20017 t_PA_taxPAItem 所得项目表 所得项目表 

2 20018 t_PA_taxPAItemRef 所得项目计算附加表所得项目计算附加表 

2 20019 t_PA_taxpama 工资所得税税率类别表 工资所得税税率类别表 

2 20020 t_PA_taxpamaRef 所得税税率表 所得税税率表 

2 20021 t_PABankPayFile 工资系统预留一表 工资系统预留一表 

2 20022 t_PACyPlot 工资配款表 工资配款表 

2 20023 t_PACyPlotRef 工资配款参考表 工资配款参考表 

2 20024 t_PADisRate 工资分配方式表 工资分配方式表 

2 20025 t_PADistribute 工资分配表 工资分配表 

2 20026 t_PAEmpFilter 工资过虑器条件表 工资过虑器条件表 

2 20027 t_PAFilter 工资过虑器表 工资过虑器表 

2 20028 t_PAFilterItem 工资过虑器包含的项目表工资过虑器包含的项目表 

2 20029 t_PAFilterPama 工资类别过滤方案 工资类别过滤方案 

2 20030 t_PAFormula 工资核算公式表 工资核算公式表 

2 20031 t_PAFund_Balance 基金余额表 基金余额表 

2 20032 t_PAFund_CalcChange 基金计提变动情况表基金计提变动情况表 

2 20033 t_PAFund_CalcScheme 基金计提方案表基金计提方案表 

2 20034 t_PAFund_CalcSchemeDetail 基金计提方案明细表基金计提方案明细表 

2 20035 t_PAFund_CalcSet 基金计提标准定义表基金计提标准定义表 

2 20036 t_PAFund_Data 基金发生额表 基金发生额表 

2 20037 t_PAFund_InOut 基金转入转出发生额表基金转入转出发生额表 

2 20038 t_PAFundCalcFilterItem 基金类型过滤条件关联表基金类型过滤条件关联表 

2 20039 t_PAFundTypeFilterItem 基金计提方案过滤条件关联表基金计提方案过滤条件关联表 

2 20040 t_PAItem 自定义职员工资项目表 自定义职员工资项目表 

2 20041 T_PAItemCls 自定义职员工资项目类别表自定义职员工资项目类别表 

2 20042 t_PaItemRight 工资基础资料权限表 工资基础资料权限表 

2 20043 t_PANewData 工资数据表 工资数据表 

